eval_id,eval_name,eval_dataset,eval_aug,eval_method,eval_K_fold,pretrain_id,pretrain_name,pretrain_dataset,pretrain_method,pretrain_aug,accuracies,backbone,K
zt8ez64g,__finetune__mirabest__minmax____pretrain__banner__all4one__minmax__resnet18__e600__p512____K1__as_is__info__,mirabest,minmax,finetune,finetune,60ffbwwo,__pretrain__banner__all4one__minmax__resnet18__e600__p512__,banner,all4one,minmax,[94.23077392578125],resnet18,1
w5sg4uky,__finetune__mirabest__mixed__byol_hulk_aug_mixed_model_resnet50__K1__as_is__info__,mirabest,mixed,finetune,finetune,nlmcibmc,byol_hulk_aug_mixed_model_resnet50,hulk,byol,mixed,"[90.3846206665039, 92.30769348144531, 90.3846206665039, 95.19231414794922, 93.26923370361328]",resnet50,1
l3f4d4wq,__finetune__mirabest__mixed____pretrain__banner__dino__mixed__vittiny__e600__p512__lr001__K1__as_is__info__,mirabest,mixed,finetune,finetune,5mn08b62,__pretrain__banner__dino__mixed__vittiny__e600__p512__lr001,banner,dino,mixed,"[74.03846740722656, 79.80769348144531, 76.9230728149414, 71.15384674072266, 74.03846740722656]",vit_tiny,1
6xytrmnj,__finetune__mirabest__mixed____pretrain__banner__dino__mixed__vittiny__e600__p256____K1__as_is__info__,mirabest,mixed,finetune,finetune,6jz72oq3,__pretrain__banner__dino__mixed__vittiny__e600__p256__,banner,dino,mixed,"[52.88461685180664, 52.88461685180664, 52.88461685180664, 52.88461685180664, 52.88461685180664]",vit_tiny,1
6aova0zi,__finetune__mirabest__mixed____pretrain__banner__all4one__resnet18__600__512____K1__as_is__info__,mirabest,mixed,finetune,finetune,2h5n923y,__pretrain__banner__all4one__resnet18__600__512__,banner,all4one,mixed,"[91.34616088867188, 95.19231414794922, 93.26923370361328, 92.30769348144531, 93.26923370361328]",resnet18,1
yj1xqwf2,__finetune__mirabest__mixed____pretrain__banner__dino__resnet18__e600__p256____K1__as_is__info__,mirabest,mixed,finetune,finetune,r55v8bjo,__pretrain__banner__dino__resnet18__e600__p256__,banner,dino,mixed,"[95.19231414794922, 95.19231414794922, 93.26923370361328, 94.23077392578125, 95.19231414794922]",resnet18,1
v18vud6e,__finetune__mirabest__mixed__byol_banner_aug_minmax_model_resnet50__K1__as_is__info__,mirabest,mixed,finetune,finetune,xtulgzz6,byol_banner_aug_minmax_model_resnet50,banner,byol,minmax,"[97.1153793334961, 95.19231414794922, 97.1153793334961, 95.19231414794922, 98.0769271850586]",resnet50,1
pn7b8w57,__finetune__mirabest__mixed__simclr_banner_aug_minmax_model_resnet18__K1__as_is__info__,mirabest,mixed,finetune,finetune,uiaz3umx,simclr_banner_aug_minmax_model_resnet18,banner,simclr,minmax,"[93.26923370361328, 97.1153793334961, 92.30769348144531, 93.26923370361328, 95.19231414794922]",resnet18,1
oo412cx9,__finetune__mirabest__mixed__simclr_banner_aug_minmax_model_resnet50__K1__as_is__info__,mirabest,mixed,finetune,finetune,4j8zhz46,simclr_banner_aug_minmax_model_resnet50,banner,simclr,minmax,"[93.26923370361328, 93.26923370361328, 94.23077392578125, 94.23077392578125, 94.23077392578125]",resnet50,1
d5dqds4f,__finetune__mirabest__mixed__simclr_banner_aug_mixed_model_resnet18__K1__as_is__info__,mirabest,mixed,finetune,finetune,hljzzxvp,simclr_banner_aug_mixed_model_resnet18,banner,simclr,mixed,"[93.26923370361328, 94.23077392578125, 91.34616088867188, 96.15384674072266, 92.30769348144531]",resnet18,1
ckyi4a7t,__finetune__mirabest__mixed__byol_banner_aug_mixed_model_resnet18__K1__as_is__info__,mirabest,mixed,finetune,finetune,jymmsi6s,byol_banner_aug_mixed_model_resnet18,banner,byol,mixed,"[94.23077392578125, 94.23077392578125, 94.23077392578125, 95.19231414794922, 90.3846206665039]",resnet18,1
a2921hai,__finetune__mirabest__mixed____pretrain__banner__dino__mixed__vittiny__e600__p256__lr001__K1__as_is__info__,mirabest,mixed,finetune,finetune,ef8jdr9u,__pretrain__banner__dino__mixed__vittiny__e600__p256__lr001,banner,dino,mixed,"[68.26922607421875, 72.1153793334961, 68.26922607421875, 66.34615325927734, 79.80769348144531]",vit_tiny,1
