ID,Method,Dataset,Backbone,Augmentation,Done,linear_robin_minmax,linear_robin_mixed,linear_vlass_minmax,linear_vlass_mixed,linear_rgz_minmax,linear_rgz_mixed,linear_mirabest_minmax,linear_mirabest_mixed,linear_frg_minmax,linear_frg_mixed,finetune_robin_minmax,finetune_robin_mixed,finetune_vlass_minmax,finetune_vlass_mixed,finetune_rgz_minmax,finetune_rgz_mixed,finetune_mirabest_minmax,finetune_mirabest_mixed,finetune_frg_minmax,finetune_frg_mixed
rfkiis97,byol,banner,resnet18,minmax,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
jymmsi6s,byol,banner,resnet18,mixed,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
xtulgzz6,byol,banner,resnet50,minmax,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
65caj987,byol,banner,resnet50,mixed,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
uja9qvb7,byol,hulk,resnet18,minmax,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8ui8180r,byol,hulk,resnet18,mixed,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
uiaz3umx,simclr,banner,resnet18,minmax,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9d7chzow,simclr,banner,resnet18,mixed,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4j8zhz46,simclr,banner,resnet50,minmax,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
rqtk6mcq,simclr,banner,resnet50,mixed,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
n11oftk9,simclr,hulk,resnet18,minmax,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
_,simclr,hulk,resnet18,mixed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
w6jni8a6,swav,banner,resnet18,minmax,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gkibs3wn,swav,banner,resnet18,mixed,True,True,False,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True
j1da6sjm,swav,banner,resnet50,minmax,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
d22vd2wk,swav,banner,resnet50,mixed,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9xtqjn3m,swav,hulk,resnet18,minmax,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
powadnna,swav,hulk,resnet18,mixed,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
_,dino,banner,resnet18,minmax,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
r55v8bjo,dino,banner,resnet18,mixed,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
_,dino,banner,resnet50,minmax,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_,dino,banner,resnet50,mixed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g0x94tkz,dino,hulk,resnet18,minmax,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
rwnrmftn,dino,hulk,resnet18,mixed,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_,wmse,banner,resnet18,minmax,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
j9zyrugp,wmse,banner,resnet18,mixed,True,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True
g4i722lx,wmse,banner,resnet50,minmax,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
wdmhiskf,wmse,banner,resnet50,mixed,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_,wmse,hulk,resnet18,minmax,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dpwoa9wx,wmse,hulk,resnet18,mixed,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
60ffbwwo,all4one,banner,resnet18,minmax,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2h5n923y,all4one,banner,resnet18,mixed,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hly1zogn,all4one,banner,resnet50,minmax,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1s6tyj12,all4one,banner,resnet50,mixed,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4xgwb5tb,all4one,hulk,resnet18,minmax,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
u716rw6k,all4one,hulk,resnet18,mixed,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
